Timestamp,Gender,Age,Educational level,Position Level in Organization,Years of Service,GRS1,GRS2,GRS3,GRS4,GTD1,GTD2,GDT3,GTD4,GTD5,GPA1,GPA2,GPA3,GPA4,GPA5,GPA6,GCM1,GCM2,GCM3,GCM4,FEP1,FEP5,FEP7,FEP9,GEE1,GEE4,GEE5,GEE6
2023/04/20 11:29:26 am GMT+8,Male,41- 50years,Post High School Certificate,General Worker,More than 5years,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,5,4,4,4,4
2023/04/20 12:54:44 pm GMT+8,Female,41- 50years,Post High School Certificate,General Worker,3-5yaers,2,4,3,5,2,1,4,5,1,2,3,4,5,1,2,3,2,1,5,2,2,4,3,5,1,4,3
2023/04/20 12:56:42 pm GMT+8,Female,51-60years,High School Certificate,Top Level Manager,More than 5years,1,2,3,4,5,5,1,2,3,4,5,4,3,2,1,5,2,1,3,4,2,5,1,1,4,2,3
2023/04/20 12:58:21 pm GMT+8,Female,41- 50years,Master's Degree,General Worker,Less than a year,4,1,4,3,5,1,4,4,3,3,5,5,5,5,4,4,1,3,5,3,3,4,2,3,4,2,1
2023/04/20 1:39:01 pm GMT+8,Female,31- 40years,Master's Degree,General Worker,3-5yaers,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
2023/04/20 3:05:03 pm GMT+8,Male,31- 40years,Bachelor Degree,Supervisor,More than 5years,4,3,3,4,4,4,4,3,3,4,4,3,4,3,4,3,4,3,4,4,4,4,3,3,4,4,4
2023/04/20 4:40:00 pm GMT+8,Female,20- 30years,Bachelor Degree,General Worker,1-3years,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,4,4,2,4,2,4,3,2,2,4
2023/04/20 4:59:23 pm GMT+8,Male,41- 50years,Bachelor Degree,General Worker,More than 5years,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
2023/04/20 5:01:18 pm GMT+8,Male,41- 50years,Master's Degree,General Worker,More than 5years,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4
2023/04/20 5:03:31 pm GMT+8,Female,20- 30years,Diploma,Middle Manager,1-3years,2,3,2,2,4,2,2,3,2,3,2,2,2,2,2,2,2,2,2,4,2,5,2,2,2,3,3
2023/04/20 5:05:22 pm GMT+8,Male,20- 30years,Bachelor Degree,Middle Manager,1-3years,1,2,3,4,5,1,2,3,3,4,5,1,2,3,4,5,1,2,3,4,3,5,4,2,5,1,2
2023/04/20 6:22:08 pm GMT+8,Female,20- 30years,Diploma,Middle Manager,Less than a year,3,2,2,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
2023/04/20 6:26:45 pm GMT+8,Female,20- 30years,Bachelor Degree,General Worker,Less than a year,4,3,4,4,3,4,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,3,3,3,3,4,4
2023/04/20 9:39:48 pm GMT+8,Female,20- 30years,Bachelor Degree,General Worker,1-3years,5,5,5,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,4,3,4,5,4,4,4,4,2
2023/04/20 9:54:30 pm GMT+8,Male,31- 40years,Bachelor Degree,General Worker,1-3years,3,4,4,4,4,3,4,4,5,3,3,4,4,4,4,4,4,4,5,3,4,2,3,4,3,5,3
2023/04/20 9:56:17 pm GMT+8,Male,20- 30years,Diploma,Middle Manager,1-3years,4,5,2,3,3,2,3,4,3,4,3,3,4,4,4,3,4,3,4,3,2,3,3,4,5,3,4
2023/04/20 9:58:04 pm GMT+8,Male,51-60years,Bachelor Degree,Middle Manager,More than 5years,4,3,3,3,1,4,5,3,3,4,4,4,3,3,4,4,5,4,4,4,4,4,2,4,4,3,3
2023/04/20 10:00:09 pm GMT+8,Male,41- 50years,Bachelor Degree,Middle Manager,Less than a year,2,4,4,2,2,1,2,3,3,4,3,4,2,4,2,4,4,4,4,4,3,3,4,3,3,2,4
2023/04/20 10:02:40 pm GMT+8,Male,31- 40years,High School Certificate,General Worker,1-3years,4,4,4,3,5,4,4,4,4,3,3,4,2,3,3,3,4,3,4,3,4,5,4,3,3,4,2
2023/04/20 10:07:11 pm GMT+8,Male,20- 30years,Diploma,General Worker,3-5yaers,4,5,3,4,4,3,4,4,1,2,4,4,5,3,3,3,4,4,3,1,4,4,3,3,3,2,3
2023/04/20 10:09:52 pm GMT+8,Male,41- 50years,Bachelor Degree,Middle Manager,3-5yaers,3,4,5,5,5,5,5,5,5,5,4,4,3,4,4,4,5,3,4,2,5,4,3,3,4,4,3
2023/04/20 10:54:37 pm GMT+8,Male,31- 40years,Diploma,General Worker,1-3years,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
2023/04/20 10:57:35 pm GMT+8,Male,31- 40years,Bachelor Degree,General Worker,More than 5years,4,4,3,4,4,4,3,3,4,3,3,4,4,4,5,2,4,4,4,4,4,2,4,4,4,4,4
2023/04/20 10:59:54 pm GMT+8,Female,31- 40years,Bachelor Degree,Middle Manager,1-3years,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,4,2,2,2,2,2
2023/04/20 11:02:11 pm GMT+8,Female,20- 30years,Diploma,Top Level Manager,More than 5years,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,5,3,4,3,3,3,3,3
2023/04/20 11:04:09 pm GMT+8,Male,31- 40years,Diploma,Middle Manager,More than 5years,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2023/04/20 11:06:12 pm GMT+8,Male,20- 30years,Bachelor Degree,Supervisor,3-5yaers,4,3,4,1,3,2,3,2,3,4,3,3,2,2,3,3,3,3,2,2,3,5,3,3,3,3,2
2023/04/20 11:09:37 pm GMT+8,Female,31- 40years,High School Certificate,Supervisor,Less than a year,3,3,2,2,3,2,3,4,2,3,3,3,4,3,3,4,3,4,3,3,4,4,2,3,4,4,3
2023/04/20 11:19:32 pm GMT+8,Female,41- 50years,Bachelor Degree,General Worker,More than 5years,3,2,3,4,4,4,4,4,3,4,2,2,4,4,3,4,3,3,3,4,2,4,4,4,4,2,4
2023/04/21 1:37:32 pm GMT+8,Male,30- 39years,Diploma,Supervisor,1-3years,3,2,3,4,4,2,4,2,4,2,3,2,2,3,3,5,1,1,2,3,2,4,3,3,3,4,2
2023/04/21 4:40:46 pm GMT+8,Male,30- 39years,Bachelor Degree,General Worker,1-3years,4,1,3,3,3,2,2,5,3,3,3,1,5,3,1,2,1,5,3,2,5,3,1,2,3,2,3
2023/04/21 4:50:56 pm GMT+8,Female,20- 29years,Bachelor Degree,Top Level Manager,More than 5years,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4,4,3,3,4,3,3,3,4,3,4,3,3
