Transformed_Feature,Coefficient,Absolute_Coefficient
cat__experience_4,0.022090552088260666,0.022090552088260666
cat__city_city_120,-0.02162784110535494,0.02162784110535494
cat__last_new_job_1,-0.020779069516857575,0.020779069516857575
cat__city_city_180,-0.020684860749134282,0.020684860749134282
cat__city_city_23,0.019614796455804606,0.019614796455804606
num__training_hours,-0.017614339186101367,0.017614339186101367
cat__city_city_43,-0.0168598670701912,0.0168598670701912
cat__city_city_81,-0.014879648212760327,0.014879648212760327
cat__last_new_job_>4,-0.014826148906530827,0.014826148906530827
cat__experience_6,0.014740578409224624,0.014740578409224624
cat__city_city_10,-0.01448684535596502,0.01448684535596502
cat__last_new_job_3,0.014379716356098853,0.014379716356098853
cat__city_city_27,0.014298982877982543,0.014298982877982543
cat__city_city_75,0.013809143254277303,0.013809143254277303
cat__experience_8,-0.012149349038700564,0.012149349038700564
cat__city_city_114,-0.011304482091901066,0.011304482091901066
cat__city_city_175,0.011143247549845844,0.011143247549845844
cat__experience_19,-0.010906912604545441,0.010906912604545441
cat__major_discipline_No Major,-0.008696459424592169,0.008696459424592169
cat__city_city_16,0.00620292381464658,0.00620292381464658
cat__major_discipline_Arts,0.0051487968891453535,0.0051487968891453535
cat__city_city_142,0.004857358066591705,0.004857358066591705
cat__experience_5,-0.003955927248848129,0.003955927248848129
cat__city_city_90,0.003945623578382119,0.003945623578382119
cat__experience_9,-0.0027403640987461457,0.0027403640987461457
cat__city_city_69,0.002690268945230146,0.002690268945230146
cat__city_city_61,-0.0022616832181542304,0.0022616832181542304
cat__city_city_126,0.0005662267429899252,0.0005662267429899252
